Time(s),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),EulerAngleX(rad),EulerAngleY(rad),EulerAngleZ(rad),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),TimeStep(s),VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s)
0.21000000000000005,-0.0013629462477166953,0.07574528226700386,0.07816814942114253,3.1414161282599364,-0.008156267530062673,1.5533430678741225,0.9999536009153825,-0.00012384638190393783,0.00407719694393087,0.012200263533427099,2.8220883128020936e-06,-0.41755470763878805,0.010000000000000009,0.12832561477861001,0.000651773226831641,1.7988235426313435
0.22000000000000006,-0.0012948920213182449,0.07879683603098353,0.03128832594087155,3.1414076085662264,-0.008929298240960804,1.5527822102689954,0.9999494625993335,-0.0001327305138000304,0.0044636198327413674,0.013538287967854916,1.0550928779641951e-05,-0.3967280632132127,0.010000000000000009,0.13915375786179957,0.0008871993178970918,2.337212726444206
0.23000000000000007,-0.00129007209330415,0.08154095608883642,-0.034795738721417294,3.1413946674976305,-0.009731277792462568,1.552781390772416,0.9999475870788584,-0.00014281417924353135,0.0048645306363573,0.0149911334602768,2.082397253982115e-05,-0.37024121075470806,0.010000000000000009,0.15128899410389138,0.001160060704839736,2.9308982877795193
0.24000000000000007,-0.001378455726978213,0.08389369510217434,-0.12666937061067932,3.1413733516663336,-0.010558646017069682,1.553564181992965,0.9999489358027632,-0.00015513161838105782,0.005278157759861787,0.016572919214486566,3.4037450859189067e-05,-0.3375243629038216,0.009999999999999981,0.16496082627251032,0.001475592299774555,3.5852190453678494
0.25000000000000006,-0.001596262334985229,0.08577174326535232,-0.2529807947089481,3.141337940329001,-0.011406959443899294,1.5554298463990268,0.9999542060486022,-0.00017117133522339453,0.005702301924967639,0.018300620313451813,5.0663065629519776e-05,-0.29790708753244327,0.010000000000000009,0.18048046554904446,0.001842423648967558,4.311617549710198
0.26000000000000006,-0.0019874181042062507,0.08709272619441279,-0.424471329353128,3.1412803459620418,-0.012270829125218288,1.5587749096267678,0.9999630965385021,-0.0001930257885296082,0.006134326592250314,0.020193835310773706,7.12419628019307e-05,-0.2506607257672097,0.010000000000000009,0.1980636134191987,0.002265973969335335,5.110953445323482
0.2700000000000001,-0.0026030693179168417,0.08777678999152817,-0.6538734969922633,3.1411894402820337,-0.013143830282061189,1.5641132534475504,0.9999727974861303,-0.00022356126936495045,0.006571157350175459,0.022274232411368597,9.637007452558265e-05,-0.19505505792729322,0.010000000000000009,0.2179153873678276,0.0027520419072707756,5.983394517313385
0.2800000000000001,-0.003498783339188574,0.08774440032563953,-0.955781662556408,3.141050336369209,-0.014018294148907741,1.5720958141481307,0.9999751894232812,-0.00026659777778868,0.007009264125600748,0.024565280717311424,0.00012669664590902059,-0.13037435578967904,0.010000000000000009,0.24016411063189255,0.0033045250962543634,6.924015582572103
0.2900000000000001,-0.004730056978216997,0.08691836403900813,-1.3459196659399757,3.140843732777808,-0.014884930978518649,1.5835256755784741,0.9999519987013697,-0.00032707433317879543,0.007444628755537615,0.027091219351013572,0.000162897460380473,-0.05598073011821296,0.010000000000000009,0.2648800753127026,0.003926523198751893,7.925640142014624
0.3000000000000001,-0.0063449693144820695,0.08521743076543768,-1.8412565309755524,3.1405454011608898,-0.015732165252158318,1.5993690446575015,0.9998669391659463,-0.0004111838745090127,0.00787267794256754,0.029877443070178384,0.00020570376641070227,0.028733989565757942,0.010000000000000009,0.292105896348865,0.004621535157064245,8.981589399916734
0.3100000000000001,-0.008372541597848905,0.08258091545108279,-2.454822644585065,3.140126122705471,-0.016545111706570866,1.6207515710733111,0.9996537514420618,-0.0005264066928332095,0.008288191585072012,0.032944280679289575,0.00025568428445665224,0.12398042118692014,0.010000000000000009,0.32084997727275905,0.005356166436349786,10.024767675410104
0.3200000000000001,-0.010807458360832562,0.07896870213466278,-3.193424628309121,3.1395531025397343,-0.017304420848781955,1.648891729758071,0.999200158640938,-0.0006812011761521408,0.008685311060847455,0.03630539208457943,0.0003132062864608568,0.22955410253362848,0.010000000000000009,0.3509120821823209,0.006128499935122617,11.04691248795048
0.3300000000000001,-0.013596394255734738,0.07433021918649846,-4.061820691492171,3.138791632568998,-0.01798433107042267,1.6850657016520456,0.9983276344817853,-0.0008846905824722245,0.009057333792680205,0.039973515433049854,0.0003786622272323583,0.34524429330843004,0.010000000000000009,0.3822032009273691,0.006941489528172227,12.047942540991865
0.34000000000000014,-0.01662324411027026,0.06861405432098648,-5.061380529452129,3.137807423506733,-0.018550180078619173,1.7305838871133272,0.9967669288219064,-0.0011462736922497616,0.009396395911644925,0.043958826497143964,0.00045240957494282807,0.4707529777891349,0.010000000000000009,0.4141065264243351,0.0077772341186723324,13.000404871957596
0.35000000000000014,-0.019697336826676404,0.061805171370493205,-6.183740781676527,3.1365708186134085,-0.018956079521036028,1.7867248809463079,0.9941322921978031,-0.0014748985659041687,0.00969323385798405,0.04826194361665446,0.0005344866019211278,0.6053494340748992,0.010000000000000009,0.44566511595010627,0.008603182750320215,13.86391925674714
0.36000000000000015,-0.022545943464510814,0.05392396679202844,-7.414511475810505,3.135062799893213,-0.019143344606250796,1.85464703799603,0.9898992876659246,-0.0018780666593369035,0.009937038529558363,0.05287786133206727,0.0006247585592825018,0.7481288095468018,0.010000000000000009,0.47659626405601835,0.009412585960870178,14.636836840958106
0.37000000000000016,-0.02481665956136836,0.04504016133866763,-8.73670561132848,3.1332814153070965,-0.01903994483806939,1.9353506870385344,0.9833875757810288,-0.0023609383151415395,0.010115287844978909,0.05779903611915249,0.0007230268580069963,0.8981840496726465,0.010000000000000009,0.5066500083705525,0.010198341279625477,15.31894085758362
0.38000000000000017,-0.026092676942715377,0.035307441817241034,-10.131436675490109,3.131248962703358,-0.018562096574878513,2.0296554633196453,0.9737522352732552,-0.00292542776505563,0.010213735626093083,0.06301547103171942,0.0008290145871730103,1.0546059623184092,0.010000000000000009,0.535586429317754,0.010951870737260233,15.910020396573401
0.3900000000000002,-0.025923683003759503,0.02500559350215139,-11.580939038932678,3.129019342980436,-0.017618931931746365,2.138191461237235,0.9599863064967881,-0.003569331685514594,0.010216649866449509,0.06851555683424478,0.0009423884308611307,1.2165168140189289,0.010000000000000009,0.5637508666557447,0.011692524936940828,16.43630790186754
0.4000000000000002,-0.023869093710531867,0.014546525905776882,-13.074028176357949,3.1266839463091407,-0.01612027466583014,2.2614417214825435,0.9409298984833784,-0.004285748625461488,0.010107220438446272,0.07429663114633366,0.0010632944244129243,1.383543176204762,0.010000000000000009,0.5918256375009088,0.012459444497353755,16.93641356785425
0.4100000000000002,-0.019541479477897507,0.004507276289336962,-14.603243339045491,3.1243758563337827,-0.013987631609931293,2.399800340332664,0.915284940108912,-0.005062602327249285,0.009868037648341006,0.08035773785849704,0.0011920281319294738,1.5554466697649465,0.010000000000000009,0.6197305783598145,0.013255713718810118,17.411672912215362
0.4200000000000002,-0.012700900171604936,-0.004331064500274286,-16.16085728420193,3.122271690682776,-0.011169847569371638,2.5535867518481856,0.8816459440051801,-0.005881997549557878,0.009482053119285683,0.0866966015194316,0.0013288978768880304,1.731977390972473,0.010000000000000009,0.6473517313886654,0.014084301835433988,17.86172687088682
0.4300000000000002,-0.0033587079028454744,-0.011002063480136826,-17.739749036731332,3.120588016802799,-0.007662617838891345,2.723046308949787,0.8385494812661575,-0.006719712595843412,0.00893396425304409,0.09330986454329843,0.001474254165247477,1.9128835925089058,0.010000000000000009,0.6745916754321432,0.014950924351463247,18.286766312025193
0.4400000000000002,0.008099757579040641,-0.014418549645802957,-19.333196420899583,3.1195695421967566,-0.003529702075131766,2.908358229369261,0.7845413566483612,-0.007545043652849999,0.008211925168971557,0.10019247777487786,0.001628458623169257,2.0978819948496716,0.010000000000000009,0.7014741249445515,0.01587109373875993,18.692169707485345
0.45000000000000023,0.020820948674797238,-0.013510959760737509,-20.93650271479618,3.1194670575221095,0.0010774703339505372,3.109647699150333,0.7182621457449492,-0.008321146494691461,0.007309527564059088,0.10734237880448426,0.0017922234579125392,2.2868640936455096,0.010000000000000009,0.7280891265750437,0.016865748464810294,19.085779329495427
