Time(s),Actuator_0_Deflection,Actuator_0_TargetDeflection,Actuator_1_Deflection,Actuator_1_TargetDeflection,Actuator_2_Deflection,Actuator_2_TargetDeflection,Actuator_3_Deflection,Actuator_3_TargetDeflection,PitchError,RollError,YawError
7.159999999999892,0.4708258813260958,0.560291904470778,2.0743262750841487e-16,6.754236649497576e-17,-0.47082588132609565,-0.5602919044707778,-7.944122929489527e-17,4.5396310778614385e-17,0.0046121354215146295,1.2241449890218177e-17,1.3331572943485562e-18
7.169999999999892,0.4793396990865982,0.5621831282057747,1.9412030907875273e-16,5.147296235424451e-17,-0.479339699086598,-0.5621831282057747,-6.756136665546097e-17,5.921354759774983e-17,0.004691693230776332,1.2238320089539525e-17,1.2077036411569365e-18
7.179999999999891,0.48722329370033385,0.5630790674778421,1.805456192541291e-16,3.5465005443785116e-17,-0.4872232937003337,-0.5630790674778421,-5.549713848685584e-17,7.231584874264815e-17,0.004764828703751608,1.2248843308138754e-17,1.0804218899914236e-18
7.189999999999891,0.49444192498988154,0.5629808341829685,1.6673937345100923e-16,1.9570200247223693e-17,-0.4944419249898814,-0.5629808341829685,-4.3334124613559565e-17,8.465078501397897e-17,0.0048312218325290025,1.227587691323129e-17,9.518785826735188e-19
7.199999999999891,0.5009642645536945,0.5618940560278447,1.5273437494342422e-16,4.6104251879680754e-18,-0.5009642645536944,-0.5618940560278447,-3.1154750160968873e-17,9.671848640386816e-17,0.004890586823181678,1.2315759042539067e-17,8.227350073559986e-19
7.209999999999891,0.5067625008289051,0.5598287964743148,1.386385174339835e-16,-9.930506526880117e-18,-0.506762500828905,-0.5598287964743148,-1.8986002805360686e-17,1.0792083722280994e-16,0.004942673018153701,1.2370352097181815e-17,6.936295757499016e-19
7.2199999999998905,0.5118124265377892,0.5567994556017006,1.2450030551399063e-16,-2.415332876998526e-17,-0.5118124265377891,-0.5567994556017006,-6.9092202393827796e-18,1.1816385427331719e-16,0.004987265644635589,1.2442422108158014e-17,5.651395933521855e-19
7.22999999999989,0.5160935083784023,0.5528246526353181,1.1035404185718956e-16,-3.783921917945392e-17,-0.5160935083784022,-0.5528246526353181,4.9930564654263255e-18,1.275947935220952e-16,0.00502418638808058,1.2532881019574071e-17,4.378224127086922e-19
7.23999999999989,0.519588938904384,0.547927090959123,9.625158850727183e-17,-4.973832536493551e-17,-0.5195889389043838,-0.547927090959123,1.666015431701507e-17,1.3742184123854886e-16,0.005053293790833949,1.2630627474255877e-17,3.1220365579278756e-19
7.24999999999989,0.5222856706220025,0.5421334064972708,8.235881136248498e-17,-6.126435047842618e-17,-0.5222856706220024,-0.5421334064972708,2.815214824680108e-17,1.4607116228041654e-16,0.005074483476654752,1.2739403790605436e-17,1.88833946236074e-19
7.25999999999989,0.5241744324140333,0.5354740004091122,6.869126045186491e-17,-7.229598218213954e-17,-0.5241744324140332,-0.5354740004091122,3.937362608489361e-17,1.5358990616651082e-16,0.0050876882026973025,1.2862038638778041e-17,6.824755906119213e-20
7.269999999999889,0.5252497284795232,0.5279828570967915,5.5274550418822676e-17,-8.123522067943183e-17,-0.5252497284795231,-0.5279828570967915,5.024274219978809e-17,1.6157477494737229e-16,0.005092877741285719,1.298570742229339e-17,-4.906921403256366e-20
7.279999999999889,0.5255098200555822,0.5196973486149224,4.22839281377929e-17,-8.969824289985183e-17,-0.5255098200555822,-0.5196973486149224,6.083738589135309e-17,1.6827841675167115e-16,0.005090058594593336,1.311430565182422e-17,-1.6261466790908579e-19
7.289999999999889,0.5249566902656968,0.5106580271980083,2.9724163968631285e-17,-9.675209606647559e-17,-0.5249566902656968,-0.5106580271980083,7.10617517968989e-17,1.7462978884697566e-16,0.00507927354661573,1.3242551225936886e-17,-2.7193089448609047e-19
7.299999999999889,0.5235959925695417,0.5009084059675157,1.7688356506535382e-17,-1.0301724980650474e-16,-0.5235959925695417,-0.5009084059675157,8.09175536115314e-17,1.799291765474574e-16,0.0050606010564835475,1.337173078423947e-17,-3.765655972579217e-19
7.309999999999889,0.5214369832499601,0.4904947282621461,6.20169935225174e-18,-1.0817369167974785e-16,-0.5214369832499601,-0.49049472826214596,9.033975529456394e-17,1.8421022388036333e-16,0.005034154497196885,1.3501374397287989e-17,-4.759774346246398e-19
7.319999999999888,0.5184924383735301,0.47946572855521147,-4.682558171499873e-18,-1.1227159673056157e-16,-0.5184924383735301,-0.47946572855521136,9.927271145536277e-17,1.87502064146686e-16,0.005000081246186459,1.3631126226024956e-17,-5.69710332062279e-19
7.329999999999888,0.5147785559016576,0.46787238564871747,-1.492100887180868e-17,-1.1555582617443083e-16,-0.5147785559016576,-0.46787238564871736,1.0766884446248488e-16,1.8964858260018784e-16,0.0049585616341515865,1.3762595046178126e-17,-6.57390021004232e-19
7.339999999999888,0.510314843630343,0.4557676692397191,-2.44976779218055e-17,-1.1766863181195754e-16,-0.510314843630343,-0.455767669239719,1.1547024801240444e-16,1.9101666481278527e-16,0.004909807759034707,1.3893815560336812e-17,-7.386804163058652e-19
7.349999999999888,0.5051239936764885,0.44320628109363724,-3.336406645804474e-17,-1.1898753825774888e-16,-0.5051239936764885,-0.44320628109363713,1.2265944009326008e-16,1.912077707495033e-16,0.004854062172491137,1.4026656052935564e-17,-8.132664395053744e-19
7.3599999999998875,0.49923174427779715,0.4302443920620713,-4.151221711122963e-17,-1.1934908507447202e-16,-0.49923174427779715,-0.4302443920620712,1.2918267622783283e-16,1.9040103307921667e-16,0.004791596446668914,1.4161267971894765e-17,-8.808687856009336e-19
7.369999999999887,0.49266672971808617,0.4169393761803684,-4.891937443860572e-17,-1.1859124709983595e-16,-0.4926667297180861,-0.4169393761803683,1.350083731294064e-16,1.8878294707272335e-16,0.00472270962952622,1.4296098923061704e-17,-9.41244670190267e-19
7.379999999999887,0.4854603192301334,0.4033495430725846,-5.55495297313181e-17,-1.1766163300590456e-16,-0.48546031923013333,-0.40334954307258447,1.4012570042986856e-16,1.853821680068709e-16,0.0046477265972820455,1.4438994921774312e-17,-9.941625977410012e-19
7.389999999999887,0.47764644576390985,0.3895338698779334,-6.146027785014475e-17,-1.162368971520663e-16,-0.47764644576390974,-0.3895338698779333,1.444324227350679e-16,1.8056943320878841e-16,0.004566996312918154,1.4594224349044613e-17,-1.0394336663106758e-18
7.399999999999887,0.46926142553909805,0.37555173389467467,-6.66729623741768e-17,-1.1343874369887447e-16,-0.46926142553909794,-0.37555173389467456,1.4787131395620864e-16,1.753079050344682e-16,0.004480889999926967,1.4756968272030384e-17,-1.07692472956224e-18
7.4099999999998865,0.46034376932716087,0.3614626471140584,-7.112331487260064e-17,-1.0873928351940285e-16,-0.46034376932716076,-0.3614626471140583,1.5048225080350734e-16,1.701985095178385e-16,0.004389799240730218,1.491701875983113e-17,-1.1065479510778524e-18
