AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),Auto-AddedZeroLengthBoatTailFX(N),Auto-AddedZeroLengthBoatTailFY(N),Auto-AddedZeroLengthBoatTailFZ(N),Auto-AddedZeroLengthBoatTailMX(Nm),Auto-AddedZeroLengthBoatTailMY(Nm),Auto-AddedZeroLengthBoatTailMZ(Nm),GravityFX(N),GravityFY(N),GravityFZ(N),Sustainer.AltimeterMassFX(N),Sustainer.AltimeterMassFY(N),Sustainer.AltimeterMassFZ(N),Sustainer.AltimeterMassMX(Nm),Sustainer.AltimeterMassMY(Nm),Sustainer.AltimeterMassMZ(Nm),Sustainer.GeneralMassFX(N),Sustainer.GeneralMassFY(N),Sustainer.GeneralMassFZ(N),Sustainer.GeneralMassMX(Nm),Sustainer.GeneralMassMY(Nm),Sustainer.GeneralMassMZ(Nm),Sustainer.MotorFX(N),Sustainer.MotorFY(N),Sustainer.MotorFZ(N),Sustainer.MotorMX(Nm),Sustainer.MotorMY(Nm),Sustainer.MotorMZ(Nm),Sustainer.NoseconeFX(N),Sustainer.NoseconeFY(N),Sustainer.NoseconeFZ(N),Sustainer.NoseconeMX(Nm),Sustainer.NoseconeMY(Nm),Sustainer.NoseconeMZ(Nm),Sustainer.TailFinsFX(N),Sustainer.TailFinsFY(N),Sustainer.TailFinsFZ(N),Sustainer.TailFinsMX(Nm),Sustainer.TailFinsMY(Nm),Sustainer.TailFinsMZ(Nm),Sustainer.UpperBodyTubeFX(N),Sustainer.UpperBodyTubeFY(N),Sustainer.UpperBodyTubeFZ(N),Sustainer.UpperBodyTubeMX(Nm),Sustainer.UpperBodyTubeMY(Nm),Sustainer.UpperBodyTubeMZ(Nm),TotalFX(N),TotalFY(N),TotalFZ(N)
0.0533208567614918,-7.255161415673861e-05,0.1807513273930271,-4.55341392071509e-05,0.0013031070856582,8.572369233851407e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001222508725862,3.6642269138297993e-06,-0.979459843217102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180935,0.0,0.0,0.0,0.0032124956434459,-2.131028969621036e-07,-6.248664344491736e-06,0.0,0.0,-7.279228141199645e-11,0.0146383182373625,-6.998558389980798e-05,-0.0001505383046102,-3.738802409736192e-05,-0.000200226047194,8.573140326493156e-06,0.0354700428806833,-2.352927359968524e-06,-2.688563801810797e-05,3.4807638130167278e-12,-3.552288692311014e-09,-6.983003603379895e-10,0.053443107634078,-6.888738724290881e-05,-0.7987085158240749
0.0531994010487967,-8.728191243813729e-05,0.2108956856684211,-4.7141176033159805e-05,0.001299320220143,1.0026342553804275e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001691009307844,5.137497705181317e-06,-0.9793336463157636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21109,0.0,0.0,0.0,0.0032115433816835,-3.382196363423775e-07,-8.830693292582055e-06,0.0,0.0,-9.862576997738911e-11,0.0146138642915377,-8.32183253527047e-05,-0.0001474856079529,-3.753862754897563e-05,-0.0001998705861981,1.0027387374197216e-05,0.0353739933755754,-3.725367449090203e-06,-3.799803033333353e-05,5.180011540451351e-12,-5.102246533625271e-09,-9.461946229628722e-10,0.0533685019795812,-8.214441473295596e-05,-0.7684379606473425
0.0531993959720083,-8.719139313874871e-05,0.2108956846591002,-4.714309311707359e-05,0.0012993201547831,1.002601128727674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000169118735989,5.129318680529586e-06,-0.9793336463142812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21109,0.0,0.0,0.0,0.0032115431151243,-3.328590113251327e-07,-8.830689824443727e-06,0.0,0.0,-9.872533347467636e-11,0.0146138623235475,-8.319221202198452e-05,-0.0001474866357822,-3.753824778032838e-05,-0.0001998706229736,1.0027057162421244e-05,0.0353739905333364,-3.666322105439056e-06,-3.7998015293113534e-05,5.181265102171024e-12,-5.102297606400535e-09,-9.47149811028535e-10,0.0533685147079974,-8.206207445821913e-05,-0.7684379616551811
0.0530810674619183,-0.000101604664153,0.2410426775755627,-4.862265344206109e-05,0.0012955740500302,1.140916721713652e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002252942645436,6.909303276966826e-06,-0.9792074451270344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412499999999999,0.0,0.0,0.0,0.0032115127090533,-4.929721946416092e-07,-1.1773999219576492e-05,0.0,0.0,-1.2919318972279468e-10,0.0145915267818359,-9.569645980865046e-05,-0.0001448805775,-3.7682746016034615e-05,-0.0001995474275309,1.1410535982619049e-05,0.035278027971029,-5.415232149784286e-06,-5.0667847717563546e-05,7.292715402331509e-12,-6.926217391658853e-09,-1.2395722928032034e-09,0.053306361726462,-9.469536087610954e-05,-0.7381647675514716
0.0530801286087418,-0.0001020313347975,0.2410432470767641,-4.854633200903021e-05,0.0012955484121753,1.1354946637219176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002345784218018,7.239421926739918e-06,-0.9792074430037696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412499999999999,0.0,0.0,0.0,0.0032111650832095,-5.430271594034732e-07,-1.1651935125187516e-05,0.0,0.0,-1.3337506063687848e-10,0.0145908574444213,-9.552256958421448e-05,-0.0001449588217266,-3.767773070085031e-05,-0.0001995381583116,1.1356359698375189e-05,0.0352781060811109,-5.965738053931715e-06,-5.0142166383995423e-05,7.35522634486373e-12,-6.920700339911525e-09,-1.279686095374421e-09,0.0533147070305437,-9.479191287080974e-05,-0.7381641959270056
0.0529643383263261,-0.0001166452936157,0.2711882288998108,-4.989073301029839e-05,0.0012918176968979,1.2670210975732604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000299969226456,9.362255062969836e-06,-0.979081235324924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27141,0.0,0.0,0.0,0.00321186198383,-7.677751192574467e-07,-1.4900140699515896e-05,0.0,0.0,-1.6778941859620496e-10,0.0145703053897898,-0.0001074674449519,-0.0001427433958958,-3.781771882119336e-05,-0.0001992419438665,1.2671988827617946e-05,0.0351821709527063,-8.41007354454852e-06,-6.412756359379776e-05,9.897608164791755e-12,-9.015246715672296e-09,-1.6100624667464864e-09,0.0532643075527822,-0.0001072830385527,-0.707893006425113
0.0529643328769381,-0.0001165634051117,0.2711882279927469,-4.989248020833475e-05,0.0012918176448749,1.2669912684813842e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0002999864959384,9.355663203181643e-06,-0.9790812353212456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27141,0.0,0.0,0.0,0.003211861698835,-7.628972318729432e-07,-1.4900136324685798e-05,0.0,0.0,-1.678852459051292e-10,0.014570303243599,-0.0001074438658307,-0.0001427443263746,-3.781737496798273e-05,-0.0001992419717956,1.267169155205446e-05,0.0351821679345041,-8.356642049144749e-06,-6.412754455370228e-05,9.899296734186262e-12,-9.015299606415093e-09,-1.6109819947125951e-09,0.0532643193728766,-0.0001072077419085,-0.7078930073284988
0.052850828025534,-0.0001311378754142,0.3013263366496105,-5.110751837896245e-05,0.0012880849016839,1.3916894820344588e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003746422797983,1.1800075074308488e-05,-0.9789550198176016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015649999999999,0.0,0.0,0.0,0.0032131894638823,-1.0380117760561358e-06,-1.8431077063521018e-05,0.0,0.0,-2.0655526194481126e-10,0.0145514036394867,-0.0001187653545978,-0.0001408980378499,-3.795160409190738e-05,-0.000198970958891,1.391908367832283e-05,0.0350862349221649,-1.1334509040333745e-05,-7.933423547601863e-05,1.2894236364946623e-11,-1.1378927329592362e-08,-1.9823027162965347e-09,0.0532254703053323,-0.0001193378003399,-0.6776286831679912
0.0528495435875422,-0.0001318220708031,0.3013271125550439,-5.103033362874509e-05,0.0012880549523754,1.3864437822265331e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003838719638189,1.2142088181934004e-05,-0.9789550162922964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015649999999999,0.0,0.0,0.0,0.0032127547886749,-1.1016370803408632e-06,-1.827523476196749e-05,0.0,0.0,-2.103235060107372e-10,0.014550523296049,-0.0001186895338779,-0.0001409495457982,-3.794747505344872e-05,-0.0001989584332808,1.3866666592480725e-05,0.0350862655028182,-1.2030899844843165e-05,-7.866266439578489e-05,1.2951170703644094e-11,-1.1371890623571392e-08,-2.018446709378766e-09,0.0532334155513612,-0.0001196799826211,-0.6776279037372523
0.0527377579316456,-0.0001468452820211,0.3314637033899856,-5.21123462261178e-05,0.0012843015182857,1.5046429277327907e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000467684212194,1.493076833522491e-05,-0.978828790089038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33172,0.0,0.0,0.0,0.0032145365563225,-1.454028777649566e-06,-2.203184951017038e-05,0.0,0.0,-2.525806250091973e-10,0.0145329399179728,-0.000129564126911,-0.000139419263332,-3.807764142832887e-05,-0.0001987073258399,1.5049106175936449e-05,0.0349902814573502,-1.582712633240303e-05,-9.484549717215887e-05,1.6397166937447545e-11,-1.4001200063649206e-08,-2.424317983532442e-09,0.0532054421438396,-0.0001319145136858,-0.6473650866990522
